 FDMNES
  energy    <xanes>
    -25.00    5.255681e-04
    -24.00    5.454651e-04
    -23.00    5.667803e-04
    -22.00    5.896662e-04
    -21.00    6.142975e-04
    -20.00    6.408755e-04
    -19.00    6.696331e-04
    -18.00    7.008414e-04
    -17.00    7.348176e-04
    -16.00    7.719354e-04
    -15.00    8.126376e-04
    -14.00    8.574532e-04
    -13.00    9.070194e-04
    -12.00    9.621099e-04
    -11.00    1.023674e-03
    -10.00    1.092888e-03
     -9.00    1.171229e-03
     -8.00    1.260576e-03
     -7.00    1.363356e-03
     -6.00    1.482759e-03
     -5.00    1.623070e-03
     -4.00    1.790172e-03
     -3.00    1.992390e-03
     -2.00    2.241917e-03
     -1.00    2.557406e-03
      0.00    2.969064e-03
      1.00    3.529729e-03
      2.00    4.342786e-03
      3.00    5.650007e-03
      4.00    8.225985e-03
      5.00    1.543903e-02
      5.20    1.773363e-02
      5.40    2.007413e-02
      5.60    2.241125e-02
      5.80    2.478173e-02
      6.00    2.724653e-02
      6.20    2.986245e-02
      6.40    3.267630e-02
      6.60    3.572445e-02
      6.80    3.903184e-02
      7.00    4.260944e-02
      7.20    4.645136e-02
      7.40    5.053369e-02
      7.60    5.481852e-02
      7.80    5.926528e-02
      8.00    6.384875e-02
      8.20    6.857755e-02
      8.40    7.350161e-02
      8.60    7.869897e-02
      8.80    8.424136e-02
      9.00    9.014893e-02
      9.20    9.634969e-02
      9.40    1.026581e-01
      9.60    1.087845e-01
      9.80    1.143805e-01
     10.00    1.191122e-01
     10.25    1.234523e-01
     10.50    1.258922e-01
     10.75    1.265678e-01
     11.00    1.258073e-01
     11.25    1.239919e-01
     11.50    1.214699e-01
     11.75    1.185269e-01
     12.00    1.153852e-01
     12.25    1.122158e-01
     12.50    1.091488e-01
     12.75    1.062786e-01
     13.00    1.036702e-01
     13.25    1.013654e-01
     13.50    9.938686e-02
     13.75    9.774157e-02
     14.00    9.642384e-02
     14.25    9.541734e-02
     14.50    9.469670e-02
     14.75    9.422892e-02
     15.00    9.397482e-02
     15.25    9.389082e-02
     15.50    9.393095e-02
     15.75    9.404921e-02
     16.00    9.420209e-02
     16.25    9.435110e-02
     16.50    9.446513e-02
     16.75    9.452202e-02
     17.00    9.450948e-02
     17.25    9.442477e-02
     17.50    9.427352e-02
     17.75    9.406773e-02
     18.00    9.382342e-02
     18.25    9.355832e-02
     18.50    9.328987e-02
     18.75    9.303378e-02
     19.00    9.280310e-02
     19.25    9.260784e-02
     19.50    9.245493e-02
     19.75    9.234837e-02
     20.00    9.228952e-02
     21.00    9.248963e-02
     22.00    9.315925e-02
     23.00    9.386977e-02
     24.00    9.415657e-02
     25.00    9.366892e-02
     26.00    9.232380e-02
     27.00    9.035573e-02
     28.00    8.816720e-02
     29.00    8.609603e-02
     30.00    8.430015e-02
     31.00    8.278223e-02
     32.00    8.145144e-02
     33.00    8.018966e-02
     34.00    7.888744e-02
     35.00    7.745937e-02
     36.00    7.585909e-02
     37.00    7.409663e-02
     38.00    7.225413e-02
     39.00    7.049450e-02
     40.00    6.903867e-02
