 FDMNES
  energy    <xanes>
   7695.00    5.259839e-04
   7695.29    5.316226e-04
   7695.58    5.372613e-04
   7695.87    5.428999e-04
   7696.16    5.487502e-04
   7696.44    5.547819e-04
   7696.73    5.608136e-04
   7697.02    5.668786e-04
   7697.31    5.733446e-04
   7697.60    5.798106e-04
   7697.89    5.862765e-04
   7698.18    5.930387e-04
   7698.47    5.999861e-04
   7698.76    6.069335e-04
   7699.04    6.139633e-04
   7699.33    6.214463e-04
   7699.62    6.289293e-04
   7699.91    6.364123e-04
   7700.20    6.443094e-04
   7700.49    6.523905e-04
   7700.78    6.604715e-04
   7701.07    6.687073e-04
   7701.36    6.774589e-04
   7701.64    6.862105e-04
   7701.93    6.949620e-04
   7702.22    7.042943e-04
   7702.51    7.138008e-04
   7702.80    7.233073e-04
   7703.09    7.330766e-04
   7703.38    7.434371e-04
   7703.67    7.537975e-04
   7703.96    7.641580e-04
   7704.24    7.753400e-04
   7704.53    7.866714e-04
   7704.82    7.980027e-04
   7705.11    8.097609e-04
   7705.40    8.222022e-04
   7705.69    8.346434e-04
   7705.98    8.470846e-04
   7706.27    8.607040e-04
   7706.56    8.744215e-04
   7706.84    8.881391e-04
   7707.13    9.025386e-04
   7707.42    9.177337e-04
   7707.71    9.329287e-04
   7708.00    9.481238e-04
   7708.29    9.650415e-04
   7708.58    9.819593e-04
   7708.87    9.988771e-04
   7709.16    1.016885e-03
   7709.44    1.035828e-03
   7709.73    1.054771e-03
   7710.02    1.073898e-03
   7710.31    1.095242e-03
   7710.60    1.116586e-03
   7710.89    1.137930e-03
   7711.18    1.161044e-03
   7711.47    1.185265e-03
   7711.76    1.209486e-03
   7712.04    1.234243e-03
   7712.33    1.261949e-03
   7712.62    1.289655e-03
   7712.91    1.317361e-03
   7713.20    1.348029e-03
   7713.49    1.380013e-03
   7713.78    1.411997e-03
   7714.07    1.445212e-03
   7714.36    1.482527e-03
   7714.64    1.519842e-03
   7714.93    1.557157e-03
   7715.22    1.599672e-03
   7715.51    1.643748e-03
   7715.80    1.687823e-03
   7716.09    1.734593e-03
   7716.38    1.787423e-03
   7716.67    1.840254e-03
   7716.96    1.893084e-03
   7717.24    1.955755e-03
   7717.53    2.020216e-03
   7717.82    2.084677e-03
   7718.11    2.155271e-03
   7718.40    2.235680e-03
   7718.69    2.316090e-03
   7718.98    2.396499e-03
   7719.27    2.497944e-03
   7719.56    2.601142e-03
   7719.84    2.704340e-03
   7720.13    2.823431e-03
   7720.42    2.961064e-03
   7720.71    3.098696e-03
   7721.00    3.236329e-03
   7721.29    3.430431e-03
   7721.58    3.624533e-03
   7721.87    3.818635e-03
   7722.16    4.069735e-03
   7722.44    4.369690e-03
   7722.73    4.669645e-03
   7723.02    4.989302e-03
   7723.31    5.545382e-03
   7723.60    6.101463e-03
   7723.89    6.657543e-03
   7724.18    7.756629e-03
   7724.47    9.195092e-03
   7724.76    1.063355e-02
   7725.04    1.219690e-02
   7725.33    1.448232e-02
   7725.62    1.685930e-02
   7725.91    1.942361e-02
   7726.20    2.227575e-02
   7726.49    2.559886e-02
   7726.78    2.935112e-02
   7727.07    3.362981e-02
   7727.36    3.840266e-02
   7727.64    4.372668e-02
   7727.93    4.961876e-02
   7728.22    5.603593e-02
   7728.51    6.297531e-02
   7728.80    7.025211e-02
   7729.09    7.772911e-02
   7729.38    8.518532e-02
   7729.67    9.246098e-02
   7729.96    9.942657e-02
   7730.24    1.058161e-01
   7730.53    1.111126e-01
   7730.82    1.149625e-01
   7731.11    1.171850e-01
   7731.40    1.178321e-01
   7731.69    1.171610e-01
   7731.98    1.155275e-01
   7732.27    1.132725e-01
   7732.56    1.107253e-01
   7732.84    1.081330e-01
   7733.13    1.056449e-01
   7733.42    1.033605e-01
   7733.71    1.013424e-01
   7734.00    9.962838e-02
   7734.29    9.827669e-02
   7734.58    9.724996e-02
   7734.87    9.653629e-02
   7735.16    9.611662e-02
   7735.44    9.596694e-02
   7735.73    9.605907e-02
   7736.02    9.637255e-02
   7736.31    9.686200e-02
   7736.60    9.747725e-02
   7736.89    9.817697e-02
   7737.18    9.892015e-02
   7737.47    9.966848e-02
   7737.76    1.003879e-01
   7738.04    1.010461e-01
   7738.33    1.016325e-01
   7738.62    1.021420e-01
   7738.91    1.025772e-01
   7739.20    1.029467e-01
   7739.49    1.032620e-01
   7739.78    1.035326e-01
   7740.07    1.037658e-01
   7740.36    1.039612e-01
   7740.64    1.041566e-01
   7740.93    1.043519e-01
   7741.22    1.044717e-01
   7741.51    1.045689e-01
   7741.80    1.046660e-01
   7742.09    1.047058e-01
   7742.38    1.046167e-01
   7742.67    1.045276e-01
   7742.96    1.044385e-01
   7743.24    1.041293e-01
   7743.53    1.037802e-01
   7743.82    1.034310e-01
   7744.11    1.029817e-01
   7744.40    1.023722e-01
   7744.69    1.017626e-01
   7744.98    1.011531e-01
   7745.27    1.003605e-01
   7745.56    9.955261e-02
   7745.84    9.874475e-02
   7746.13    9.788416e-02
   7746.42    9.696206e-02
   7746.71    9.603995e-02
   7747.00    9.511785e-02
   7747.29    9.416504e-02
   7747.58    9.321223e-02
   7747.87    9.225943e-02
   7748.16    9.133341e-02
   7748.44    9.043037e-02
   7748.73    8.952732e-02
   7749.02    8.863305e-02
   7749.31    8.784421e-02
   7749.60    8.705537e-02
   7749.89    8.626652e-02
   7750.18    8.556037e-02
   7750.47    8.490589e-02
   7750.76    8.425141e-02
   7751.04    8.361523e-02
   7751.33    8.307970e-02
   7751.62    8.254417e-02
   7751.91    8.200864e-02
   7752.20    8.153267e-02
   7752.49    8.108317e-02
   7752.78    8.063366e-02
   7753.07    8.019506e-02
   7753.36    7.979277e-02
   7753.64    7.939048e-02
   7753.93    7.898819e-02
   7754.22    7.859443e-02
   7754.51    7.820324e-02
   7754.80    7.781205e-02
   7755.09    7.741594e-02
   7755.38    7.700878e-02
   7755.67    7.660161e-02
   7755.96    7.619445e-02
   7756.24    7.576285e-02
   7756.53    7.532682e-02
   7756.82    7.489078e-02
   7757.11    7.444609e-02
   7757.40    7.398755e-02
   7757.69    7.352902e-02
   7757.98    7.307048e-02
   7758.27    7.262054e-02
   7758.56    7.217131e-02
   7758.84    7.172208e-02
   7759.13    7.130378e-02
   7759.42    7.092154e-02
   7759.71    7.053931e-02
   7760.00    7.015707e-02
