 FDMNES
  energy    <xanes>
    -25.00    5.296586e-04
    -24.00    5.491205e-04
    -23.00    5.699343e-04
    -22.00    5.922423e-04
    -21.00    6.162068e-04
    -20.00    6.420145e-04
    -19.00    6.698806e-04
    -18.00    7.000549e-04
    -17.00    7.328290e-04
    -16.00    7.685447e-04
    -15.00    8.076063e-04
    -14.00    8.504946e-04
    -13.00    8.977860e-04
    -12.00    9.501780e-04
    -11.00    1.008522e-03
    -10.00    1.073869e-03
     -9.00    1.147529e-03
     -8.00    1.231162e-03
     -7.00    1.326896e-03
     -6.00    1.437512e-03
     -5.00    1.566712e-03
     -4.00    1.719543e-03
     -3.00    1.903076e-03
     -2.00    2.127558e-03
     -1.00    2.408483e-03
      0.00    2.770595e-03
      1.00    3.256492e-03
      2.00    3.947983e-03
      3.00    5.032230e-03
      4.00    7.094221e-03
      5.00    1.264704e-02
      5.20    1.441922e-02
      5.40    1.625075e-02
      5.60    1.810232e-02
      5.80    1.999177e-02
      6.00    2.195070e-02
      6.20    2.400422e-02
      6.40    2.616877e-02
      6.60    2.845747e-02
      6.80    3.088799e-02
      7.00    3.348945e-02
      7.20    3.630498e-02
      7.40    3.938843e-02
      7.60    4.279660e-02
      7.80    4.657975e-02
      8.00    5.077271e-02
      8.20    5.538744e-02
      8.40    6.040648e-02
      8.60    6.577734e-02
      8.80    7.141134e-02
      9.00    7.719336e-02
      9.20    8.300427e-02
      9.40    8.874380e-02
      9.60    9.433267e-02
      9.80    9.968606e-02
     10.00    1.046762e-01
     10.25    1.101101e-01
     10.50    1.142328e-01
     10.75    1.166807e-01
     11.00    1.173505e-01
     11.25    1.164593e-01
     11.50    1.144504e-01
     11.75    1.118247e-01
     12.00    1.090028e-01
     12.25    1.062680e-01
     12.50    1.037753e-01
     12.75    1.015885e-01
     13.00    9.972020e-02
     13.25    9.815943e-02
     13.50    9.688732e-02
     13.75    9.588376e-02
     14.00    9.513011e-02
     14.25    9.460925e-02
     14.50    9.430330e-02
     14.75    9.419148e-02
     15.00    9.424945e-02
     15.25    9.444968e-02
     15.50    9.476233e-02
     15.75    9.515608e-02
     16.00    9.559889e-02
     16.25    9.605883e-02
     16.50    9.650499e-02
     16.75    9.690873e-02
     17.00    9.724520e-02
     17.25    9.749493e-02
     17.50    9.764533e-02
     17.75    9.769162e-02
     18.00    9.763710e-02
     18.25    9.749247e-02
     18.50    9.727461e-02
     18.75    9.700466e-02
     19.00    9.670601e-02
     19.25    9.640220e-02
     19.50    9.611513e-02
     19.75    9.586372e-02
     20.00    9.566313e-02
     21.00    9.555393e-02
     22.00    9.664866e-02
     23.00    9.854487e-02
     24.00    1.004209e-01
     25.00    1.013244e-01
     26.00    1.005998e-01
     27.00    9.827431e-02
     28.00    9.498379e-02
     29.00    9.151215e-02
     30.00    8.840353e-02
     31.00    8.583731e-02
     32.00    8.376548e-02
     33.00    8.205469e-02
     34.00    8.055670e-02
     35.00    7.914404e-02
     36.00    7.772940e-02
     37.00    7.627735e-02
     38.00    7.481338e-02
     39.00    7.343174e-02
     40.00    7.228536e-02
