 FDMNES
  energy    <xanes>
   7695.00    5.365151e-04
   7695.29    5.422755e-04
   7695.58    5.480358e-04
   7695.87    5.537962e-04
   7696.16    5.597756e-04
   7696.44    5.659429e-04
   7696.73    5.721101e-04
   7697.02    5.783120e-04
   7697.31    5.849298e-04
   7697.60    5.915476e-04
   7697.89    5.981654e-04
   7698.18    6.050912e-04
   7698.47    6.122096e-04
   7698.76    6.193279e-04
   7699.04    6.265322e-04
   7699.33    6.342088e-04
   7699.62    6.418854e-04
   7699.91    6.495620e-04
   7700.20    6.576712e-04
   7700.49    6.659728e-04
   7700.78    6.742744e-04
   7701.07    6.827382e-04
   7701.36    6.917425e-04
   7701.64    7.007468e-04
   7701.93    7.097512e-04
   7702.22    7.193661e-04
   7702.51    7.291642e-04
   7702.80    7.389622e-04
   7703.09    7.490376e-04
   7703.38    7.597368e-04
   7703.67    7.704360e-04
   7703.96    7.811351e-04
   7704.24    7.927046e-04
   7704.53    8.044322e-04
   7704.82    8.161598e-04
   7705.11    8.283417e-04
   7705.40    8.412501e-04
   7705.69    8.541586e-04
   7705.98    8.670671e-04
   7706.27    8.812351e-04
   7706.56    8.955081e-04
   7706.84    9.097811e-04
   7707.13    9.247871e-04
   7707.42    9.406482e-04
   7707.71    9.565093e-04
   7708.00    9.723704e-04
   7708.29    9.900945e-04
   7708.58    1.007819e-03
   7708.87    1.025543e-03
   7709.16    1.044454e-03
   7709.44    1.064383e-03
   7709.73    1.084311e-03
   7710.02    1.104443e-03
   7710.31    1.127006e-03
   7710.60    1.149570e-03
   7710.89    1.172134e-03
   7711.18    1.196657e-03
   7711.47    1.222404e-03
   7711.76    1.248152e-03
   7712.04    1.274499e-03
   7712.33    1.304143e-03
   7712.62    1.333788e-03
   7712.91    1.363432e-03
   7713.20    1.396426e-03
   7713.49    1.430908e-03
   7713.78    1.465391e-03
   7714.07    1.501284e-03
   7714.36    1.541877e-03
   7714.64    1.582470e-03
   7714.93    1.623063e-03
   7715.22    1.669710e-03
   7715.51    1.718174e-03
   7715.80    1.766638e-03
   7716.09    1.818298e-03
   7716.38    1.877146e-03
   7716.67    1.935994e-03
   7716.96    1.994843e-03
   7717.24    2.065626e-03
   7717.53    2.138580e-03
   7717.82    2.211533e-03
   7718.11    2.292131e-03
   7718.40    2.384959e-03
   7718.69    2.477787e-03
   7718.98    2.570615e-03
   7719.27    2.690552e-03
   7719.56    2.812749e-03
   7719.84    2.934946e-03
   7720.13    3.078516e-03
   7720.42    3.247021e-03
   7720.71    3.415526e-03
   7721.00    3.584031e-03
   7721.29    3.832784e-03
   7721.58    4.081537e-03
   7721.87    4.330289e-03
   7722.16    4.666178e-03
   7722.44    5.076755e-03
   7722.73    5.487332e-03
   7723.02    5.931033e-03
   7723.31    6.772223e-03
   7723.60    7.613413e-03
   7723.89    8.454603e-03
   7724.18    1.029168e-02
   7724.47    1.275119e-02
   7724.76    1.521070e-02
   7725.04    1.789767e-02
   7725.33    2.186683e-02
   7725.62    2.588281e-02
   7725.91    3.009959e-02
   7726.20    3.474843e-02
   7726.49    4.011682e-02
   7726.78    4.598530e-02
   7727.07    5.201460e-02
   7727.36    5.771571e-02
   7727.64    6.284264e-02
   7727.93    6.760706e-02
   7728.22    7.245938e-02
   7728.51    7.777666e-02
   7728.80    8.355262e-02
   7729.09    8.959116e-02
   7729.38    9.539329e-02
   7729.67    1.003315e-01
   7729.96    1.040821e-01
   7730.24    1.064465e-01
   7730.53    1.073863e-01
   7730.82    1.072536e-01
   7731.11    1.063515e-01
   7731.40    1.049260e-01
   7731.69    1.031766e-01
   7731.98    1.012713e-01
   7732.27    9.936585e-02
   7732.56    9.761088e-02
   7732.84    9.610469e-02
   7733.13    9.491142e-02
   7733.42    9.405949e-02
   7733.71    9.354840e-02
   7734.00    9.335591e-02
   7734.29    9.346926e-02
   7734.58    9.379460e-02
   7734.87    9.426605e-02
   7735.16    9.481301e-02
   7735.44    9.536490e-02
   7735.73    9.585572e-02
   7736.02    9.621648e-02
   7736.31    9.639864e-02
   7736.60    9.638112e-02
   7736.89    9.615233e-02
   7737.18    9.571677e-02
   7737.47    9.509379e-02
   7737.76    9.431355e-02
   7738.04    9.341398e-02
   7738.33    9.245824e-02
   7738.62    9.149512e-02
   7738.91    9.057080e-02
   7739.20    8.972606e-02
   7739.49    8.899423e-02
   7739.78    8.841277e-02
   7740.07    8.803831e-02
   7740.36    8.793150e-02
   7740.64    8.782469e-02
   7740.93    8.771789e-02
   7741.22    8.798151e-02
   7741.51    8.835627e-02
   7741.80    8.873102e-02
   7742.09    8.918926e-02
   7742.38    8.983533e-02
   7742.67    9.048141e-02
   7742.96    9.112748e-02
   7743.24    9.180289e-02
   7743.53    9.248362e-02
   7743.82    9.316436e-02
   7744.11    9.378455e-02
   7744.40    9.430786e-02
   7744.69    9.483118e-02
   7744.98    9.535449e-02
   7745.27    9.561569e-02
   7745.56    9.585504e-02
   7745.84    9.609440e-02
   7746.13    9.618142e-02
   7746.42    9.609072e-02
   7746.71    9.600002e-02
   7747.00    9.590932e-02
   7747.29    9.553712e-02
   7747.58    9.516491e-02
   7747.87    9.479271e-02
   7748.16    9.432851e-02
   7748.44    9.378547e-02
   7748.73    9.324243e-02
   7749.02    9.269523e-02
   7749.31    9.209819e-02
   7749.60    9.150114e-02
   7749.89    9.090410e-02
   7750.18    9.032053e-02
   7750.47    8.974539e-02
   7750.76    8.917025e-02
   7751.04    8.860241e-02
   7751.33    8.807474e-02
   7751.62    8.754706e-02
   7751.91    8.701939e-02
   7752.20    8.651956e-02
   7752.49    8.603210e-02
   7752.78    8.554464e-02
   7753.07    8.506175e-02
   7753.36    8.459408e-02
   7753.64    8.412642e-02
   7753.93    8.365876e-02
   7754.22    8.318989e-02
   7754.51    8.272065e-02
   7754.80    8.225142e-02
   7755.09    8.177684e-02
   7755.38    8.129022e-02
   7755.67    8.080360e-02
   7755.96    8.031698e-02
   7756.24    7.981108e-02
   7756.53    7.930167e-02
   7756.82    7.879226e-02
   7757.11    7.827828e-02
   7757.40    7.775701e-02
   7757.69    7.723574e-02
   7757.98    7.671446e-02
   7758.27    7.621429e-02
   7758.56    7.571587e-02
   7758.84    7.521746e-02
   7759.13    7.475689e-02
   7759.42    7.434047e-02
   7759.71    7.392406e-02
   7760.00    7.350764e-02
