  7709.000   27  1  1  1.9222038E-02 -2.6669046E+00 -2.5219356E-01  1  1  7.5665256E+03  8.0000000E+03  0.0000000E+00  1.1792254E+00  1.0000000E+00  0.0000000E+00  = E_edge, Z, n_edge, j_edge, Abs_before_edge, VO_interstitial, E_cut, ninit, ninit1, Epsii, UnitCell_Volume, Surface_ref, f0_forward, natomsym_f, abs_u_iso
    Energy    <xanes>    
  -25.0000  1.9279952E-09
  -24.0000  5.3097479E-09
  -23.0000  1.8012985E-08
  -22.0000  9.3917355E-08
  -21.0000  4.3120730E-06
  -20.0000  4.0534348E-06
  -19.0000  2.6979464E-06
  -18.0000  6.7823577E-07
  -17.0000  9.5496528E-07
  -16.0000  4.8429266E-06
  -15.0000  8.7659997E-06
  -14.0000  1.4717365E-04
  -13.0000  1.9373498E-06
  -12.0000  1.6799753E-03
  -11.0000  9.3272401E-06
  -10.0000  3.3369004E-03
  -9.00000  2.2225415E-04
  -8.00000  1.0688291E-04
  -7.00000  9.3055957E-02
  -6.00000  3.5964305E-02
  -5.00000  1.3933107E-03
  -4.00000  1.8124696E-04
  -3.00000  1.0730410E-03
  -2.00000  8.5794399E-05
  -1.00000  6.4577502E-05
   0.00000  8.6466648E-05
   1.00000  9.2514788E-05
   2.00000  8.1462258E-05
   3.00000  1.0690110E-04
   4.00000  1.7840651E-04
   5.00000  6.5131916E-04
   5.20000  6.0559583E-04
   5.40000  7.9255655E-04
   5.60000  1.3614473E-03
   5.80000  2.0309915E-03
   6.00000  3.7907928E-03
   6.20000  6.5011177E-03
   6.40000  6.8916419E-03
   6.60000  8.0384281E-03
   6.80000  8.1857919E-03
   7.00000  9.3044241E-03
   7.20000  1.1800503E-02
   7.40000  1.0754063E-02
   7.60000  9.4605361E-03
   7.80000  1.0580662E-02
   8.00000  1.2489651E-02
   8.20000  1.4211005E-02
   8.40000  1.5748912E-02
   8.60000  1.9714985E-02
   8.80000  2.6975788E-02
   9.00000  2.8648658E-02
   9.20000  1.9718927E-02
   9.40000  1.2993503E-02
   9.60000  1.1025304E-02
   9.80000  1.2114926E-02
   10.0000  1.5176685E-02
   10.2500  2.1645059E-02
   10.5000  3.1240469E-02
   10.7500  4.2560958E-02
   11.0000  5.2767012E-02
   11.2500  5.9502024E-02
   11.5000  6.2445402E-02
   11.7500  6.0510708E-02
   12.0000  5.4590423E-02
   12.2500  5.0172909E-02
   12.5000  5.0542790E-02
   12.7500  5.5841422E-02
   13.0000  5.8826019E-02
   13.2500  5.5056763E-02
   13.5000  4.8134978E-02
   13.7500  4.2551683E-02
   14.0000  3.8538290E-02
   14.2500  3.5675629E-02
   14.5000  3.3377236E-02
   14.7500  3.1538035E-02
   15.0000  3.0135513E-02
   15.2500  2.9101255E-02
   15.5000  2.8369363E-02
   15.7500  2.7950634E-02
   16.0000  2.7499713E-02
   16.2500  2.7326864E-02
   16.5000  2.7171719E-02
   16.7500  2.7048216E-02
   17.0000  2.7033270E-02
   17.2500  2.7207913E-02
   17.5000  2.7626204E-02
   17.7500  2.8307310E-02
   18.0000  2.9244262E-02
   18.2500  3.0406659E-02
   18.5000  3.1741210E-02
   18.7500  3.3167742E-02
   19.0000  3.4575902E-02
   19.2500  3.5842351E-02
   19.5000  3.6875697E-02
   19.7500  3.7649065E-02
   20.0000  3.8187759E-02
   21.0000  3.8821984E-02
   22.0000  3.8592376E-02
   23.0000  3.8335008E-02
   24.0000  3.7405604E-02
   25.0000  3.5822085E-02
   26.0000  3.4647187E-02
   27.0000  3.4055886E-02
   28.0000  3.3542882E-02
   29.0000  3.2785361E-02
   30.0000  3.2003072E-02
   31.0000  3.1000138E-02
   32.0000  2.9751731E-02
   33.0000  2.8352769E-02
   34.0000  2.6966072E-02
   35.0000  2.5705228E-02
   36.0000  2.4640059E-02
   37.0000  2.3788095E-02
   38.0000  2.3109926E-02
   39.0000  2.2524844E-02
   40.0000  2.1928404E-02
