    Energy    <xanes>    
  -25.0000  1.7291220E-04
  -24.0000  1.7933902E-04
  -23.0000  1.8621304E-04
  -22.0000  1.9358104E-04
  -21.0000  2.0149648E-04
  -20.0000  2.1002066E-04
  -19.0000  2.1922426E-04
  -18.0000  2.2918913E-04
  -17.0000  2.4001062E-04
  -16.0000  2.5180045E-04
  -15.0000  2.6469030E-04
  -14.0000  2.7883650E-04
  -13.0000  2.9442603E-04
  -12.0000  3.1168436E-04
  -11.0000  3.3088578E-04
  -10.0000  3.5236741E-04
  -9.00000  3.7654808E-04
  -8.00000  4.0395465E-04
  -7.00000  4.3525918E-04
  -6.00000  4.7133252E-04
  -5.00000  5.1332385E-04
  -4.00000  5.6278188E-04
  -3.00000  6.2184621E-04
  -2.00000  6.9356212E-04
  -1.00000  7.8242506E-04
   0.00000  8.9538413E-04
   1.00000  1.0438509E-03
   2.00000  1.2482042E-03
   3.00000  1.5497465E-03
   4.00000  2.0524920E-03
   5.00000  3.1188568E-03
   5.20000  3.4697047E-03
   5.40000  3.8854391E-03
   5.60000  4.3822625E-03
   5.80000  4.9791792E-03
   6.00000  5.6876945E-03
   6.20000  6.5012628E-03
   6.40000  7.3935477E-03
   6.60000  8.3378121E-03
   6.80000  9.3335576E-03
   7.00000  1.0409305E-02
   7.20000  1.1603379E-02
   7.40000  1.2946761E-02
   7.60000  1.4453482E-02
   7.80000  1.6103942E-02
   8.00000  1.7817965E-02
   8.20000  1.9446892E-02
   8.40000  2.0810384E-02
   8.60000  2.1762992E-02
   8.80000  2.2268506E-02
   9.00000  2.2460249E-02
   9.20000  2.2623620E-02
   9.40000  2.3077863E-02
   9.60000  2.4052117E-02
   9.80000  2.5637938E-02
   10.0000  2.7802005E-02
   10.2500  3.1116657E-02
   10.5000  3.4736963E-02
   10.7500  3.8204257E-02
   11.0000  4.1104154E-02
   11.2500  4.3174231E-02
   11.5000  4.4357960E-02
   11.7500  4.4788802E-02
   12.0000  4.4712889E-02
   12.2500  4.4359953E-02
   12.5000  4.3827524E-02
   12.7500  4.3068633E-02
   13.0000  4.1995717E-02
   13.2500  4.0603810E-02
   13.5000  3.9000830E-02
   13.7500  3.7343032E-02
   14.0000  3.5761730E-02
   14.2500  3.4335345E-02
   14.5000  3.3097500E-02
   14.7500  3.2054480E-02
   15.0000  3.1198288E-02
   15.2500  3.0514022E-02
   15.5000  2.9983983E-02
   15.7500  2.9590253E-02
   16.0000  2.9316404E-02
   16.2500  2.9148633E-02
   16.5000  2.9076317E-02
   16.7500  2.9091851E-02
   17.0000  2.9189762E-02
   17.2500  2.9365331E-02
   17.5000  2.9613068E-02
   17.7500  2.9925445E-02
   18.0000  3.0292109E-02
   18.2500  3.0699732E-02
   18.5000  3.1132483E-02
   18.7500  3.1573075E-02
   19.0000  3.2004231E-02
   19.2500  3.2410330E-02
   19.5000  3.2778924E-02
   19.7500  3.3101796E-02
   20.0000  3.3375302E-02
   21.0000  3.4022711E-02
   22.0000  3.4192336E-02
   23.0000  3.4090513E-02
   24.0000  3.3750332E-02
   25.0000  3.3226343E-02
   26.0000  3.2654547E-02
   27.0000  3.2131093E-02
   28.0000  3.1649716E-02
   29.0000  3.1145074E-02
   30.0000  3.0552724E-02
   31.0000  2.9831172E-02
   32.0000  2.8975203E-02
   33.0000  2.8021925E-02
   34.0000  2.7035789E-02
   35.0000  2.6082790E-02
   36.0000  2.5211400E-02
   37.0000  2.4445785E-02
   38.0000  2.3790763E-02
   39.0000  2.3246650E-02
   40.0000  2.2824417E-02
